StudyName,nObs,DLongStudyName,DeLongM,DeLong.se,DeLong.l95,DeLong.u95
Chant_1966,15,Chant 1966,1.05,0.36,,
Chong_2006,126,Chong 2006,0.02,,-0.5,0.54
,,Cronin_1993_EcolEntom,0.422,,-2,2.84
,,Cronin_1993_Ecology,1.599,,-0.86,4.06
Crowley_1989,60,Crowley 1989,1.27,,1.04,1.5
Edwards_1961_Nasonia-Musca,97,Edwards 1961 Nasonia Musca,1.14,0.15,,
Edwards_1961_Trichogramma-Sitotroga_1,75,Edwards 1961 Trichogramma Sitotroga 1,0.89,0.07,,
Edwards_1961_Trichogramma-Sitotroga_2,17,Edwards 1961 Trichogramma Sitotroga 2,0.89,0.07,,
Eveleigh_1982_Adeg_adult_merged,111,Eveleigh 1982 Adeg adult,0.5,0.09,,
Eveleigh_1982_Adeg_deut_merged,226,Eveleigh 1982 Adeg deut,0.5,0.09,,
Eveleigh_1982_Adeg_proto_merged,267,Eveleigh 1982 Adeg proto,0.5,0.09,,
Eveleigh_1982_Pper_adult_merged,111,Eveleigh 1982 Pper adult,0.92,0.16,,
Eveleigh_1982_Pper_deut_merged,278,Eveleigh 1982 Pper deut,0.92,0.16,,
Eveleigh_1982_Pper_proto_merged,298,Eveleigh 1982 Pper proto,0.92,0.16,,
,,Finlay,0.11,,0.09,0.13
Griffen_2007_Fig1a,108,Griffen_Carcinus,0.9,,,
Griffen_2007_Fig1b,108,Griffen_Hemigrapsus,0.1,,,
Hassan_1976_Aglom,100,Hassan 1976 Aglom,0.63,,0.28,0.97
Hassan_1976_Breg,100,Hassan 1976 Breg,1.99,,1.98,2.06
Hassan_1976_Ppup,100,Hassan 1976 Ppup,1.99,,1.99,2
Jones_1986_Exp4.1n2,125,Jones,0.7,0.22,,
Katz_1985,16,Katz 1985,0.87,0.35,,
Kfir_1983,120,Kfir,0.33,0.14,,
Kratina_2009,67,Kratina 2009,0.67,0.11,,
Kumar_1985_Cc,90,Kumar_1,0.64,0.15,,
Kumar_1985_Dl,90,Kumar_2,0.62,0.21,,
Kumar_1985_Sm,90,Kumar_3,0.66,0.15,,
,,Lozano,1.062,,0.59,1.53
Mansour_1991,36,Mansour,0.62,,0.12,1.17
Mertz_1968,120,Mertz 1968,0.83,0.09,,
Mills_2004,179,Mills,1.25,,1.02,1.48
Reeve_1997,26,Reeve 1997,1,,0.58,1.43
,,Salt 1967,0,,0.15,0.16
Salt_1974,50,Salt 1974,2.3,,0.6,3.99
,,Schenk,0.5,,0.4,0.61
,,Tahriri,0.76,,,
,,Taylor_1,0.63,,0.59,0.66
,,Taylor_2,0.45,,0.41,0.49
,,Tschanz,0.32,,0.26,0.38
Uttley_1980_NotoIns2,312,Uttley,0.33,,0.2,0.43
Vahl_2005_Turn,10,Vahl_Arenaria,0.63,,0.22,1.04
Vahl_2005_Knot,10,Vahl_Caldris,0.55,,0.43,0.66
vonWesternhagen_1976_Fig2_2hrs,20,vonWesternhagen_1,0.54,0.16,,
vonWesternhagen_1976_Fig2_4hrs,20,vonWesternhagen_2,0.73,0.17,,
vonWesternhagen_1976_Fig2_8hrs,20,vonWesternhagen_3,0.66,0.17,,
,,Vucetich,0.7,,0.47,0.94