DataSetID,DataSetRef,a,a_CI_l,a_CI_u,b,b_CI_l,b_CI_u,c_or_m,c_or_m_CI_l,c_or_m_CI_u,SampleSize,BestFitModel
1,Salt_1974,0.0596,0.0504,0.0711,0.0298,0.0238,0.0372,0.0316,0.0181,0.0486,5,BD or HV
2,WaldeDavies_1984,0.8461,0.651,1.202,0.0752,0.0482,0.1221,1.434,0.997,2.063,18,BD
3,CrowleyMartin_1989,2.087,1.853,2.363,0.0244,0.0172,0.0329,0.7296,0.5795,0.9345,15,CM
4,O'Donoghue_1998,0.0268,0.0181,0.0482,0.0036,0,0.0203,0.2927,0.0056,1.159,8,CM
5,O'Donoghue_1998,0.0392,0.0234,0.0864,0.0334,0.0152,0.0997,0,NA,NA,8,H2
6,Edwards_1961,0.0312,0.0248,0.0409,0.1557,0.1187,0.2116,0.2442,0.1757,0.3429,96,BD
7,Edwards_1961,0.0189,0.0161,0.0229,0.0062,0.0047,0.0087,0.1204,0.0953,0.1479,75,CM
8,ChantTurnbull_1966,0.2338,0.0839,2.116,0.0248,0.0062,0.2622,1.197,0.4042,2.704,15,HV
9,MertzDavies_1968,0.0106,0.0079,0.0156,0.0581,0.0406,0.0852,0.0566,0.0374,0.0903,120,BD
10,vonWesternhagen_1976,0.0156,0.0113,0.0226,0.0287,0.0115,0.0623,0.1575,0.0759,0.3079,20,CM
11,Uttley_1980,0.0402,0.0358,0.0464,0.0576,0.0478,0.0708,0.1017,0.0833,0.1239,30,CM
12,Uttley_1980,0.141,0.1228,0.1629,0.1396,0.1179,0.1662,0.3265,0.1998,0.4339,30,HV
13,EveleighChant_1982,0.1625,0.1324,0.2086,0.4353,0.3423,0.5766,0.479,0.2256,0.6905,33,HV
14,EveleighChant_1982,0.0781,0.0683,0.0901,0.0392,0.0319,0.0485,0.2142,0.1076,0.3362,19,BD
15,HuffakerMatsumoto_1982,0.0595,0.0388,0.1113,0.0541,0.0285,0.1218,1.647,0.9786,3.172,8,BD or HV
16,Kfir_1983,0.0113,0.0066,0.0247,0.0087,0.0045,0.0219,0.4503,0.1377,0.8164,12,HV
17,Kumar_Tripathi_1985,0.0192,0.0139,0.0264,0.0045,0,0.0125,0.4105,0.1418,0.8497,9,BD
18,Katz_1985,0.0065,0.0046,0.0107,0.0153,0.0068,0.0353,1.206,0.5829,2.165,21,BD
19,Taylor_1988,0.1706,0.139,0.2188,0.0965,0.064,0.1469,0.7227,0.4796,0.9621,13,HV